COS821 (SOFTWARE QUALITY ASSURANCE),,COS827 (OBJECT ORIENTED PROGRAM),,COS814 (SOFTWARE PROJECT MANAGEMENT),,COS820 (E COMMERCE TECHNOLOGY),,,,
QUESTION,ANSWER,QUESTION,ANSWER,QUESTION ,ANSWER,QUESTION,ANSWER,,,
Which of the following is not included in failure costs?  (A) repair (B) failure mode analysis (C) none of the mentioned,C,A class can serve as base class for many derived classes. (A) True (B) False (C) None,A,Which of the following is not project management goal? (A) Delivering the software to the customer at the agreed time (B) Maintaining a happy and well-functioning development team (C) Avoiding customer complaints,C,Which products are people most likely to be comfortable buying on the Internet?  (A) PCs (B) CDs (C) All of the above,C,,,
Which requirements are the foundation from which quality is measured?  (A) Hardware (B) Software (C) Programmers,B,"When a class serves as base class for many derived classes, the situation is called: (A) polymorphism (B) hierarchical inheritance (C) hybrid inheritance",B,Which of the following is not considered as a risk in project management? (A) Specification delays (B) Product competition (C) Testing,C,Which of the following describes e-commerce? (A) Doing business electronically (B) Doing business (C) Sale of goods,A,,,
Which of the following is not a Software Quality Assurance plan for a project? (A) evaluations to be performed (B) amount of technical work (C) audits and reviews to be performed,B,"When two or more classes serve as base class for a derived class, the situation is known as __________. (A) multiple inheritance (B) polymorphism (C) encapsulation",A,The process each manager follows during the life of a project is known as (A) Manager life cycle (B) Project Management Life Cycle (C) All of the mentioned,B,Which of the following is part of the four main types for e-commerce? (A) B2C (B) C2B (C) All of the above,C,,,
Degree to which design specifications are followed in manufacturing the product is called  (A) Quality Control (B) Quality of conformance (C) Quality Assurance,B,Multiple inheritance leaves room for a derived class to have _______ members. (A) private (B) public (C) ambiguous,C,Which of the following is/are main parameters that you should use when computing the costs of a software development project? (A) hardware and software costs (B) effort costs (the costs of paying software engineers and managers) (C) all of the mentioned,C,"Which segment do eBay, Amazon.com belong? (A) B2Bs (B) B2Cs (C) C2Bs",B,,,
Which of the following is not included in External failure costs?  (A) testing (B) help line support (C) warranty work,A,You can redefine the way _______ work when used with objects. (A) white space characters (B) standard operators (C) pre-processor directives,B,Quality planning is the process of developing a quality plan for (A) team (B) project (C) customers,B,Which is a function of E- commerce  (A) marketing (B) warehousing (C) All of the above,C,,,
Which of the following is not an appraisal cost in Software Quality Assurance? (A) inter-process inspection (B) maintenance (C) quality planning ,C,"When an object is assigned to another using inbuilt copy assignment facility, each member of one object is copied to its counterpart in the other object. (A) True (B) False (C) None",A,Which of the following is incorrect activity for the configuration management of a software system? (A) Internship management (B) Change management (C) Version management,A,Which property is used to name a web control (A) ControlName (B) ID (C) Designation,B,,,
"Who identifies, documents, and verifies that corrections have been made to the software?  (A) Project manager (B) Project team (C) Software Quality Assurance group",C,Methods are also known as (A) Member function (B) Instances (C) Objects,A,Identify the sub-process of process improvement (A) Process introduction (B) Process analysis (C) De-processification,B,Which of the following is not considered to be one of the phases of e-commerce (A) Preservation (B) Consolidation (C) Reinvention,A,,,
The primary objective of formal technical reviews is to find ..... during the process so that they do not become defects after release of the software.  (A) errors (B) equivalent faults (C) failure cause,A,An individual instance in Object Oriented Programming  is called as (A) Class (B) Function (C) Object ,C,An independent relationship must exist between the attribute that can be measured and the external quality attribute. (A) True (B) False (C) None,B,The primary source of financing during the early years of e-commerce was______ (A) Large retail loans (B) Bank loans (C) Venture capital funds,C,,,
What is not included in prevention costs? (A) formal technical reviews (B) test equipment (C) equipment calibration and maintenance,C,Encapsulation Is (A) Data hiding (B) Defining classes (C) Data removing,A,Project managers have to assess the risks that may affect a project. (A) True (B) False (C) None,B,All of the following are technologies used to gather information about you online except (A) Spy ware (B) Anonymizers (C) Cookies,B,,,
Software quality assurance consists of the auditing and reporting functions of management. (A) True (B) False (C) None,A,Derived class is also known as (A) Parent class (B) Subclass (C) Both A & B,B,A 66.6% risk in project management is considered as (A) low (B) moderate (C) high,C,The best product to sell in B2C e-commerce are (A) Small product (B) Digital product (C) Fresh Product,B,,,
